lat,lon
-89.06,82.79
-89.06,84.04
-89.06,85.3
-89.06,86.55
-89.06,87.8
-89.06,89.06
-89.06,90.31
-89.06,91.57
-89.06,92.82
-89.06,94.08
-89.06,95.33
-89.06,96.59
-89.06,97.84
-89.06,99.09
-89.06,100.35
-89.06,101.6
-89.06,102.86
-89.06,104.11
-89.06,105.37
-89.06,106.62
-89.06,107.87
-89.06,109.13
-89.06,110.38
-89.06,111.64
-89.06,112.89
-89.06,114.15
-89.06,115.4
-89.06,116.66
-89.06,117.91
-89.06,119.16
-89.06,120.42
-89.06,121.67
-89.06,122.93
-89.06,124.18
-89.06,125.44
-89.06,126.69
-89.06,127.94
-89.06,129.2
-89.06,130.45
-89.06,131.71
-89.06,132.96
-89.06,134.22
-89.06,135.47
-89.06,136.72
-89.06,137.98
-89.06,139.23
-89.06,140.49
-89.06,141.74
-89.06,143.0
-89.06,144.25
-89.06,145.51
-89.06,146.76
-89.06,148.01
-89.06,149.27
-89.06,150.52
-89.06,151.78
-89.06,153.03
-89.06,154.29
-89.06,155.54
-89.06,156.79
-89.06,158.05
-89.06,159.3
-89.06,160.56
-89.06,161.81
-89.06,163.07
-89.06,164.32
-89.06,165.57
-89.06,166.83
-89.06,168.08
-89.06,169.34
-89.06,170.59
-89.06,171.85
-89.06,173.1
-89.06,174.36
-89.06,175.61
-89.06,176.86
-89.06,178.12
-89.06,179.37
-89.06,180.63
-89.06,181.88
-89.06,183.14
-89.06,184.39
-89.06,185.64
-89.06,186.9
-89.06,188.15
-89.06,189.41
-89.06,190.66
-89.06,191.92
-89.06,193.17
-89.06,194.43
-89.06,195.68
-89.06,196.93
-89.06,198.19
-89.06,199.44
-89.06,200.7
-89.06,201.95
-89.06,203.21
-89.06,204.46
-89.06,205.71
-89.06,206.97
-89.06,208.22
-89.06,209.48
-89.06,210.73
-89.06,211.99
-89.06,213.24
-89.06,214.49
-89.06,215.75
-89.06,217.0
-89.06,218.26
-89.06,219.51
-89.06,220.77
-89.06,222.02
-89.06,223.28
-89.06,224.53
-89.06,225.78
-89.06,227.04
-89.06,228.29
-89.06,229.55
-89.06,230.8
-89.06,232.06
-89.06,233.31
-89.06,234.56
-89.06,235.82
-89.06,237.07
-89.06,238.33
-89.06,239.58
-89.06,240.84
-89.06,242.09
-89.06,243.34
-89.06,244.6
-89.06,245.85
-89.06,247.11
-89.06,248.36
-89.06,249.62
-89.06,250.87
-89.06,252.13
-89.06,253.38
-89.06,254.63
-89.06,255.89
-89.06,257.14
-89.06,258.4
-89.06,259.65
-89.06,260.91
-89.06,262.16
-89.06,263.41
-89.06,264.67
-89.06,265.92
-89.06,267.18
-89.06,268.43
-89.06,269.69
-89.06,270.94
-89.06,272.2
-89.06,273.45
-89.06,274.7
-89.06,275.96
-89.06,277.21
-89.06,278.47
-89.06,279.72
-89.06,280.98
-89.06,282.23
-89.06,283.48
-89.06,284.74
-89.06,285.99
-89.06,287.25
-89.06,288.5
-89.06,289.76
-89.06,291.01
-89.06,292.26
-89.06,293.52
-89.06,294.77
-89.06,296.03
-89.06,297.28
-89.06,298.54
-89.06,299.79
-89.06,301.05
-89.06,302.3
-89.06,303.55
-89.06,304.81
-89.06,306.06
-89.06,307.32
-89.06,308.57
-89.06,309.83
-89.06,311.08
-89.06,312.33
-89.06,313.59
-89.06,314.84
-89.06,316.1
-89.06,317.35
-89.06,318.61
-89.06,319.86
-89.06,321.11
-89.06,322.37
-89.06,323.62
-89.06,324.88
-89.06,326.13
-89.06,327.39
-89.06,328.64
-89.06,329.9
-89.06,331.15
-89.06,332.4
-89.06,333.66
-89.06,334.91
-89.06,336.17
-89.06,337.42
-89.06,338.68
-89.06,339.93
-89.06,341.18
-89.06,342.44
-89.06,343.69
-89.06,344.95
-89.06,346.2
-89.06,347.46
-89.06,348.71
-89.06,349.97
-89.06,351.22
-89.06,352.47
-89.06,353.73
-89.06,354.98
-89.06,356.24
-89.06,357.49
-89.06,358.75
-89.06,360.0
-88.12,0.0
-88.12,1.25
-88.12,2.51
-88.12,3.76
-88.12,5.02
-88.12,6.27
-88.12,7.53
-88.12,8.78
-88.12,10.03
-88.12,11.29
-88.12,12.54
-88.12,13.8
-88.12,15.05
-88.12,16.31
-88.12,17.56
-88.12,18.82
-88.12,20.07
-88.12,21.32
-88.12,22.58
-88.12,23.83
-88.12,25.09
-88.12,26.34
-88.12,27.6
-88.12,28.85
-88.12,30.1
-88.12,31.36
-88.12,32.61
-88.12,33.87
-88.12,35.12
-88.12,36.38
-88.12,37.63
-88.12,38.89
-88.12,40.14
-88.12,41.39
-88.12,42.65
-88.12,43.9
-88.12,45.16
-88.12,46.41
-88.12,47.67
-88.12,48.92
-88.12,50.17
-88.12,51.43
-88.12,52.68
-88.12,53.94
-88.12,55.19
-88.12,56.45
-88.12,57.7
-88.12,58.95
-88.12,60.21
-88.12,61.46
-88.12,62.72
-88.12,63.97
-88.12,65.23
-88.12,66.48
-88.12,67.74
-88.12,68.99
-88.12,70.24
-88.12,71.5
-88.12,72.75
-88.12,74.01
-88.12,75.26
-88.12,76.52
-88.12,77.77
-88.12,79.02
-88.12,80.28
-88.12,81.53
-88.12,82.79
-88.12,84.04
-88.12,85.3
-88.12,86.55
-88.12,87.8
-88.12,89.06
-88.12,90.31
-88.12,91.57
-88.12,92.82
-88.12,94.08
-88.12,95.33
-88.12,96.59
-88.12,97.84
-88.12,99.09
-88.12,100.35
-88.12,101.6
-88.12,102.86
-88.12,104.11
-88.12,105.37
-88.12,106.62
-88.12,107.87
-88.12,109.13
-88.12,110.38
-88.12,111.64
-88.12,112.89
-88.12,114.15
-88.12,115.4
-88.12,116.66
-88.12,117.91
-88.12,119.16
-88.12,120.42
-88.12,121.67
-88.12,122.93
-88.12,124.18
-88.12,125.44
-88.12,126.69
-88.12,127.94
-88.12,129.2
-88.12,130.45
-88.12,131.71
-88.12,132.96
-88.12,134.22
-88.12,135.47
-88.12,136.72
-88.12,137.98
-88.12,139.23
-88.12,140.49
-88.12,141.74
-88.12,143.0
-88.12,144.25
-88.12,145.51
-88.12,146.76
-88.12,148.01
-88.12,149.27
-88.12,150.52
-88.12,151.78
-88.12,153.03
-88.12,154.29
-88.12,155.54
-88.12,156.79
-88.12,158.05
-88.12,159.3
-88.12,160.56
-88.12,161.81
-88.12,163.07
-88.12,164.32
-88.12,165.57
-88.12,166.83
-88.12,168.08
-88.12,169.34
-88.12,170.59
-88.12,171.85
-88.12,173.1
-88.12,174.36
-88.12,175.61
-88.12,176.86
-88.12,178.12
-88.12,179.37
-88.12,180.63
-88.12,181.88
-88.12,183.14
-88.12,184.39
-88.12,185.64
-88.12,186.9
-88.12,188.15
-88.12,189.41
-88.12,190.66
-88.12,191.92
-88.12,193.17
-88.12,194.43
-88.12,195.68
-88.12,196.93
-88.12,198.19
-88.12,199.44
-88.12,200.7
-88.12,201.95
-88.12,203.21
-88.12,204.46
-88.12,205.71
-88.12,206.97
-88.12,208.22
-88.12,209.48
-88.12,210.73
-88.12,211.99
-88.12,213.24
-88.12,214.49
-88.12,215.75
-88.12,217.0
-88.12,218.26
-88.12,219.51
-88.12,220.77
-88.12,222.02
-88.12,223.28
-88.12,224.53
-88.12,225.78
-88.12,227.04
-88.12,228.29
-88.12,229.55
-88.12,230.8
-88.12,232.06
-88.12,233.31
-88.12,234.56
-88.12,235.82
-88.12,237.07
-88.12,238.33
-88.12,239.58
-88.12,240.84
-88.12,242.09
-88.12,243.34
-88.12,244.6
-88.12,245.85
-88.12,247.11
-88.12,248.36
-88.12,249.62
-88.12,250.87
-88.12,252.13
-88.12,253.38
-88.12,254.63
-88.12,255.89
-88.12,257.14
-88.12,258.4
-88.12,259.65
-88.12,260.91
-88.12,262.16
-88.12,263.41
-88.12,264.67
-88.12,265.92
-88.12,267.18
-88.12,268.43
-88.12,269.69
-88.12,270.94
-88.12,272.2
-88.12,273.45
-88.12,274.7
-88.12,275.96
-88.12,277.21
-88.12,278.47
-88.12,279.72
-88.12,280.98
-88.12,282.23
-88.12,283.48
-88.12,284.74
-88.12,285.99
-88.12,287.25
-88.12,288.5
-88.12,289.76
-88.12,291.01
-88.12,292.26
-88.12,293.52
-88.12,294.77
-88.12,296.03
-88.12,297.28
-88.12,298.54
-88.12,299.79
-88.12,301.05
-88.12,302.3
-88.12,303.55
-88.12,304.81
-88.12,306.06
-88.12,307.32
-88.12,308.57
-88.12,309.83
-88.12,311.08
-88.12,312.33
-88.12,313.59
-88.12,314.84
-88.12,316.1
-88.12,317.35
-88.12,318.61
-88.12,319.86
-88.12,321.11
-88.12,322.37
-88.12,323.62
-88.12,324.88
-88.12,326.13
-88.12,327.39
-88.12,328.64
-88.12,329.9
-88.12,331.15
-88.12,332.4
-88.12,333.66
-88.12,334.91
-88.12,336.17
-88.12,337.42
-88.12,338.68
-88.12,339.93
-88.12,341.18
-88.12,342.44
-88.12,343.69
-88.12,344.95
-88.12,346.2
-88.12,347.46
-88.12,348.71
-88.12,349.97
-88.12,351.22
-88.12,352.47
-88.12,353.73
-88.12,354.98
-88.12,356.24
-88.12,357.49
-88.12,358.75
-88.12,360.0
-87.17,0.0
-87.17,1.25
-87.17,2.51
-87.17,3.76
-87.17,5.02
-87.17,6.27
-87.17,7.53
-87.17,8.78
-87.17,10.03
-87.17,11.29
-87.17,12.54
-87.17,13.8
-87.17,15.05
-87.17,16.31
-87.17,17.56
-87.17,18.82
-87.17,20.07
-87.17,21.32
-87.17,22.58
-87.17,23.83
-87.17,25.09
-87.17,26.34
-87.17,27.6
-87.17,28.85
-87.17,30.1
-87.17,31.36
-87.17,32.61
-87.17,33.87
-87.17,35.12
-87.17,36.38
-87.17,37.63
-87.17,38.89
-87.17,40.14
